# CF 优选 IP 合并清单 | 共 491 条 | 由 5 个公开源合并去重
# 来源: https://cf.junzhen.qzz.io/best_ips.txt + https://cf.junzhen.qzz.io/full_ips.txt + https://raw.githubusercontent.com/cmliu/WorkerVless2sub/main/addressesapi.txt + https://raw.githubusercontent.com/KafeMars/best-ips-domains/main/cf-bestips.txt + https://raw.githubusercontent.com/HandsomeMJZ/cfip/main/best_ips.txt
# 带速度标注的最优选在前。可直接填进 edgetunnel『优选订阅地址』
147.78.0.186:8443#AE [0M]
146.70.37.253:443#AE [0M]
20.174.15.226:443#AE [0M]
84.235.255.82:443#AE [0M]
172.86.77.145:443#AE [0M]
45.86.228.104:443#AE [0M]
95.174.68.179:8443#AE [0M]
95.174.68.155:2083#AE [0M]
193.123.74.174:8443#AE [0M]
84.235.250.237:443#AE [0M]
185.186.77.54:443#AL [0M]
89.125.139.115:443#AL [0M]
91.239.6.51:8443#AL [0M]
91.239.6.47:443#AL [0M]
2.56.207.67:443#AM [0M]
88.218.92.231:443#AM [0M]
92.223.2.12:2087#AM [0M]
2.56.206.113:443#AM [0M]
37.252.189.207:443#AT [0M]
77.110.110.254:443#AT [0M]
159.195.112.41:443#AT [0M]
159.195.115.30:443#AT [0M]
152.53.100.85:443#AT [0M]
152.53.45.7:443#AT [0M]
152.53.112.170:443#AT [0M]
152.53.112.170:2053#AT [0M]
152.53.19.28:8443#AT [0M]
152.53.100.13:443#AT [0M]
45.32.241.82:443#AU [0M]
45.32.191.198:443#AU [0M]
103.43.75.82:443#AU [0M]
54.253.0.63:443#AU [0M]
139.84.205.230:443#AU [0M]
3.27.159.64:443#AU [0M]
125.7.24.251:443#AU [0M]
202.125.16.41:8443#AU [0M]
123.51.23.113:443#AU [0M]
161.33.90.181:443#AU [0M]
185.235.138.60:2053#BE [0M]
192.71.249.186:2053#BE [0M]
188.190.26.243:443#BE [0M]
194.71.227.213:443#BE [0M]
141.227.186.221:2053#BE [0M]
141.227.137.177:2053#BE [0M]
35.241.172.224:443#BE [0M]
89.125.200.19:443#BE [0M]
141.98.233.6:443#BE [0M]
141.227.186.38:2053#BE [0M]
94.156.189.144:8443#BG [0M]
31.13.248.113:8443#BG [0M]
185.203.116.174:443#BG [0M]
185.141.61.113:443#BG [0M]
85.217.170.56:2053#BG [0M]
217.217.227.126:443#BG [0M]
185.205.210.144:443#BG [0M]
83.147.241.139:2096#BG [0M]
193.239.160.89:443#BG [0M]
85.217.170.89:2083#BG [0M]
149.104.106.219:443#BH [0M]
43.174.192.1:443#BR [0M]
172.237.60.225:443#BR [0M]
146.235.59.153:2053#BR [0M]
80.71.159.199:8443#BY [0M]
155.212.244.252:443#BY [0M]
212.60.4.134:443#BY [0M]
185.179.82.246:443#BY [0M]
62.182.102.93:443#BY [0M]
93.85.236.9:443#BY [0M]
144.31.129.7:443#BY [0M]
185.179.82.201:443#BY [0M]
150.242.90.62:443#CA [0M]
40.233.103.212:443#CA [0M]
40.233.87.120:443#CA [0M]
172.93.167.45:443#CA [0M]
172.93.167.175:443#CA [0M]
172.105.26.26:2053#CA [0M]
45.133.16.41:443#CA [0M]
159.203.18.237:443#CA [0M]
213.255.209.61:8443#CA [0M]
40.233.99.248:443#CA [0M]
83.228.193.188:443#CH [0M]
45.90.57.139:8443#CH [0M]
146.70.233.11:443#CH [0M]
140.238.209.8:443#CH [0M]
141.227.149.145:443#CH [0M]
31.7.56.138:443#CH [0M]
84.234.16.169:8443#CH [0M]
91.245.225.79:8443#CH [0M]
38.180.85.203:443#CH [0M]
152.67.85.239:443#CH [0M]
148.116.110.12:8443#CL [0M]
64.176.4.154:8443#CL [0M]
120.26.92.186:8443#CN [0M]
171.83.48.117:8443#CN [0M]
109.66.88.158:443#CN [0M]
47.83.139.13:8443#CN [0M]
111.31.95.41:8443#CN [0M]
183.14.214.138:8443#CN [0M]
8.134.220.58:8443#CN [0M]
213.7.187.34:443#CY [0M]
213.111.177.107:443#CY [0M]
193.124.58.171:443#CZ [0M]
85.137.165.171:443#CZ [0M]
193.124.58.61:443#CZ [0M]
109.238.95.229:443#CZ [0M]
91.199.160.188:2053#CZ [0M]
91.184.250.182:443#CZ [0M]
193.124.57.24:2087#CZ [0M]
193.124.57.253:8443#CZ [0M]
85.137.25.2:443#CZ [0M]
91.199.154.97:443#CZ [0M]
188.95.70.132:2053#DE [0M]
88.218.193.65:443#DE [0M]
189.24.114.224:443#DE [0M]
45.131.71.183:8443#DE [0M]
213.145.87.54:8443#DE [0M]
157.230.97.112:443#DE [0M]
157.230.97.112:2053#DE [0M]
207.154.242.240:8443#DE [0M]
158.180.49.11:8443#DE [0M]
157.230.97.112:2087#DE [0M]
77.37.96.186:443#DK [0M]
45.148.29.199:8443#DK [0M]
91.132.92.231:443#DK [0M]
193.181.208.185:443#DK [0M]
45.148.30.11:443#DK [0M]
93.92.112.187:2083#DK [0M]
93.92.112.187:8443#DK [0M]
193.180.209.21:443#DK [0M]
5.249.255.116:443#DK [0M]
45.148.31.204:443#DK [0M]
181.36.229.212:8443#DO [0M]
181.36.229.212:2083#DO [0M]
181.36.229.212:2053#DO [0M]
153.56.171.97:2053#EE [0M]
153.56.171.219:2053#EE [0M]
153.56.171.216:8443#EE [0M]
213.111.181.20:8443#EE [0M]
153.56.171.216:443#EE [0M]
185.36.140.228:8443#EE [0M]
188.255.236.80:8443#EE [0M]
5.45.114.210:8443#EE [0M]
194.76.227.72:443#EE [0M]
46.36.217.167:443#EE [0M]
